"","contcod","Gini-MI","Gini-MI-0","Gini-MI-0.5","Gini-MI-1","MLD-MI","MLD-MI-0","MLD-MI-0.5","MLD-MI-1","TheilT-MI","TheilT-MI-0","TheilT-MI-0.5","TheilT-MI-1","Mean-MI","Mean-MI-0","Mean-MI-0.5","Mean-MI-1","Bottom 50%-MI","Bottom 50%-MI-0","Bottom 50%-MI-0.5","Bottom 50%-MI-1","Middle 40%-MI","Middle 40%-MI-0","Middle 40%-MI-0.5","Middle 40%-MI-1","Top 10%-MI","Top 10%-MI-0","Top 10%-MI-0.5","Top 10%-MI-1","Top 1%-MI","Top 1%-MI-0","Top 1%-MI-0.5","Top 1%-MI-1"
"31","GRC",0.48158264488419,0.458744049083501,0.478176698337862,0.527934206785573,0.400911711941214,0.359864051122292,0.393656611268245,0.490192882597578,0.618808452661705,0.479713201323002,0.600483890887051,0.966268796285732,13520.8297910652,12885.3397637336,13462.7073485657,14826.8136148992,0.206185497057674,0.187129569922147,0.207155425128162,0.216371997120669,0.253815279603624,0.229742554890989,0.255375426972711,0.264502088043732,0.414380668781785,0.390332816604036,0.409961301132488,0.466659107355493,0.16034372168546,0.125813323308959,0.157142147681576,0.224333871762382
"32","HND",0.866269406646183,0.793951951886773,0.85310897638547,0.999750744580038,1.96863389003491,1.31650637960051,1.6598668647732,8.55621006548115,3.77590553141749,2.07758307919827,3.22421118777848,9.19405630115875,121317.765378168,3946.00251846666,5634.62253441393,5673728.83255471,0.0387565734532214,4.25132558434923e-05,0.0425085459916739,0.0606321752267155,0.06167328932049,6.82336709157053e-05,0.0674870311704864,0.0954565322823018,0.830911441811829,0.739316574361078,0.81418213456567,0.999810865216689,0.635558894592808,0.44547202412325,0.598964855985573,0.999576738132617
"33","HUN",0.344706395411845,0.33722709934942,0.345149238677271,0.351158825268325,0.192195205193561,0.183927423196257,0.193010697132519,0.199707494364724,0.224353949823092,0.214436614717659,0.225657550594538,0.232604815197854,4780.21025655634,4705.82250677581,4782.12280275907,4842.38321532811,0.277570785690505,0.274081685750963,0.277466554146286,0.281780286138042,0.302306366141622,0.298703477827962,0.302040654106306,0.305955824518486,0.295338272735018,0.288750065077337,0.295763901885396,0.301120979595964,0.0556257043551387,0.0536848507568572,0.0553419741619326,0.0580709643824344
"34","IDN",0.400819040271149,0.389304941805163,0.400999943588441,0.412013812567866,0.262912729950461,0.247955928173328,0.262989515741566,0.278740076747743,0.335932257709997,0.315832684312142,0.335857826862422,0.359549472464044,649.645109937893,634.449817308287,649.779657378174,667.305903606376,0.248606176665249,0.243014818042635,0.248585416198331,0.254988910748114,0.274952898026128,0.269462008301429,0.274679352120837,0.281034908750405,0.348968246261733,0.338791906294907,0.34922434766619,0.361325776865571,0.0864619928609744,0.0799316795990543,0.0865094698873203,0.0922117524655795
"35","IND",0.426035369906064,0.41531308446329,0.425509132849115,0.438169812598935,0.298135127631959,0.283000607365189,0.296989354479298,0.316635761748861,0.388104942246212,0.364860322997091,0.388275640088891,0.417340658589842,714.968495206101,699.432529041036,715.013410600667,736.354094466898,0.234967351430306,0.229667480700201,0.234807100490394,0.240770058334589,0.263734330827642,0.258421465889374,0.263877200665772,0.268453744886129,0.370945103833986,0.360348163881433,0.371061240690726,0.385082904514566,0.0980150668339293,0.0933027835366086,0.0980829988602779,0.104645820419935
"36","IRL",0.438191013391933,0.415013670447316,0.437798802670728,0.472318807234369,0.346033810163576,0.310022553114803,0.344471519100276,0.406427112604863,0.437567993052389,0.353969387846161,0.431873368462155,0.61666469969974,8014.4758094328,7653.61620855069,8004.58263720107,8521.14861814681,0.223757768490695,0.209854424450068,0.223911769090044,0.234184143982954,0.289834947658139,0.272167297410698,0.290315433511082,0.302517443934042,0.358289556541101,0.33250873725052,0.357701933589983,0.396693619912581,0.115631523799752,0.0910931762875218,0.114258011237503,0.159451276257282
"37","ISR",0.538081310859361,0.509264858429465,0.533556814474563,0.597002549041315,0.50870035698438,0.449480063633629,0.498364274356717,0.641576536322957,0.836158321671617,0.627904132979903,0.798580978687697,1.40501653587624,11261.0638808616,10526.8583997768,11110.0279428732,12845.7939190537,0.177935786747524,0.15455171891667,0.179912680475541,0.189990516821663,0.227322278137924,0.197674628870917,0.229692591385921,0.241111726633115,0.468263972619766,0.436895216680007,0.463123001777124,0.534765857930292,0.204089535943486,0.160539964010525,0.198687324603577,0.297264022106806
"38","ITA",0.440961755569769,0.425112600503341,0.439858671706475,0.472208243513192,0.33732305523115,0.311530279118987,0.335253381699051,0.392597169787455,0.473975916838971,0.390786238245921,0.465802251884288,0.674524225619116,12270.6429576491,11852.6961774397,12225.2852971522,13039.0597228744,0.225632727272008,0.21227497369309,0.225963897117216,0.232390781073813,0.277360899315056,0.261906473654798,0.278064019539064,0.286753051927204,0.371862710405974,0.351935544234858,0.371243116529789,0.405787801039419,0.127746681200736,0.104547613788073,0.128057124752081,0.168629210536572
"39","JOR",0.726942644200173,0.692508307941351,0.7291820451667,0.767835158193572,0.998693019339775,0.878690013490984,1.0044921915088,1.15811731277357,1.84250048804141,1.49879030935512,1.82184146480454,2.31018650514811,4925.06927102533,4290.57792457428,4913.06553149608,5835.65045399788,0.096021772703241,0.0810686955684603,0.0951873097920997,0.108675838048197,0.12262046572971,0.103609463925675,0.121777956713011,0.138825361986381,0.680715796964221,0.639441807022916,0.682849837051048,0.729554220475195,0.408131089554996,0.342978662608864,0.409504251563016,0.493098794157651
"40","JPN",0.359080372822966,0.340906329197229,0.358575540610189,0.387638661901123,0.215714270818768,0.190803841004626,0.214852413881646,0.26041252757918,0.315680207275254,0.248549154537869,0.305252707928114,0.496804055745565,17884.4232487128,17341.1132468171,17861.7752882142,18573.2236381135,0.273830468523289,0.261963687665306,0.273770518089899,0.281656609778933,0.295562901311321,0.283036985162419,0.295942743341291,0.305234982528974,0.31864272075578,0.299032640633595,0.317481383441575,0.349492796883429,0.0972522316804119,0.0773188682534613,0.0957156129760147,0.137351649891401
